Year,Month,Product Name,Supplier,Stock Level,Order Quantity,Demand Level
2024,November,Combiner,Fibertech Inc,237,155,Low
2024,October,Card,Optifibre Co,344,402,High
2024,November,Switch,Broadcam,374,207,Low
2024,June,Card,Bell,442,276,Low
2024,November,Multiplexer,Synergy,238,343,Very High
2023,March,Splitter,Cardcom,405,216,Low
2024,April,Card,Fibertech Inc,475,437,Medium
2024,September,Switch,Broadcam,331,280,Medium
2023,February,Combiner,Fibertech Inc,148,296,Very High
2023,May,Router,Netgear,311,492,Very High
2023,November,Combiner,Synergy,119,396,Very High
2023,July,Optical,Netgear,202,256,Very High
2023,March,Splitter,Optifibre Co,327,428,Very High
2023,July,Networking,Optifibre Co,312,213,Low
2024,March,Router,Bell,362,472,Very High
2024,April,Splitter,Cardcom,496,251,Low
2024,November,Multiplexer,Synergy,160,239,Very High
2024,March,Router,Fibertech Inc,414,418,High
2024,December,Switch,Cardcom,126,382,Very High
2024,September,Card,Bell,439,431,Medium
2024,June,Multiplexer,Broadcam,455,389,Medium
2023,January,Multiplexer,Fibertech Inc,141,117,Medium
2023,June,Optical,Fibertech Inc,478,319,Low
2024,October,Networking,Netgear,482,478,Medium
2023,April,Switch,Optifibre Co,297,364,High
2023,April,Splitter,Netgear,204,237,High
2024,August,Switch,Netgear,365,270,Low
2023,July,Router,Fibertech Inc,461,358,Medium
2023,December,Router,Bell,467,269,Low
2024,April,Optical,Optifibre Co,426,145,Very Low
2024,February,Multiplexer,Bell,247,196,Medium
2024,April,Router,HP,429,236,Low
2023,November,Modem,Cisco,467,234,Low
2024,December,Splitter,Optifibre Co,326,437,Very High
2023,October,Multiplexer,Bell,210,309,Very High
2024,August,Switch,Cardcom,101,333,Very High
2024,July,Card,Netgear,228,215,Medium
2023,December,Multiplexer,Fibertech Inc,447,401,Medium
2023,June,Switch,Synergy,339,180,Low
2023,August,Card,Fibertech Inc,339,499,Very High
2024,February,Networking,Bell,415,174,Very Low
2023,August,Networking,Cardcom,123,370,Very High
2024,October,Modem,Cardcom,246,385,Very High
2023,January,Modem,Broadcam,262,106,Very Low
2023,November,Networking,Cisco,237,409,Very High
2023,November,Networking,Cardcom,168,298,Very High
2024,January,Modem,Broadcam,191,450,Very High
2024,December,Switch,Bell,452,499,High
2024,September,Splitter,Optifibre Co,411,496,High
2024,March,Combiner,Synergy,152,464,Very High
2024,March,Switch,Cisco,121,211,Very High
2024,April,Modem,Bell,253,236,Medium
2024,December,Card,Fibertech Inc,213,397,Very High
2023,March,Modem,Cisco,430,409,Medium
2023,March,Optical,Netgear,126,299,Very High
2023,January,Networking,Cardcom,359,488,Very High
